Gender,Race/ethnicity,Parental level of education,Lunch,Test preparation course,Math score,Reading score,Writing score
Female,Group B,Bachelor's degree,Yes,Completed,72,72,74
Female,Group C,Some college,No,None,69,90,88
Female,Group B,Master's degree,No,Completed,90,95,93
Male,Group A,Associate's degree,Yes,None,47,57,44
Male,Group C,Some college,Yes,None,76,78,75
Female,Group B,Associate's degree,No,Completed,71,83,78
Female,Group B,Some college,No,None,88,95,92
Male,Group B,Some college,Yes,None,40,43,39
Male,Group D,High school,Yes,Completed,64,64,67
Female,Group B,High school,Yes,None,38,60,50
Male,Group C,High school,Yes,Completed,82,76,80
Female,Group A,Some high school,Yes,None,63,69,68
Female,Group D,Some college,No,Completed,95,88,92
Male,Group E,Bachelor's degree,No,None,70,61,65
Female,Group B,Some college,Yes,Completed,85,80,87
Male,Group D,Some high school,No,None,43,39,38
Female,Group C,Master's degree,Yes,Completed,94,92,96
Female,Group E,Some college,Yes,None,59,69,62
Male,Group A,High school,Yes,Completed,78,75,72
Male,Group C,Associate's degree,No,Completed,85,80,82
Male,Group B,Some high school,No,Completed,67,70,68
Female,Group D,High school,Yes,Completed,88,92,89
Male,Group C,Some college,Yes,None,74,63,68
Female,Group E,Bachelor's degree,Yes,Completed,91,94,97
Male,Group C,Some high school,No,None,61,64,59
Female,Group B,Some high school,Yes,None,69,65,67
Male,Group A,Master's degree,No,Completed,82,88,87
Female,Group D,Associate's degree,Yes,None,76,80,74
Male,Group C,High school,No,Completed,65,64,67
Female,Group B,Some college,Yes,Completed,93,93,92
Male,Group E,Bachelor's degree,No,None,58,57,54
Female,Group A,Some college,Yes,Completed,67,70,71
Male,Group C,Some high school,Yes,None,44,42,46
Female,Group E,Master's degree,No,Completed,92,97,94
Male,Group D,Some college,Yes,Completed,81,78,80
Female,Group D,Some high school,No,None,52,54,54
Male,Group B,High school,Yes,Completed,79,68,71
Female,Group C,Associate's degree,Yes,None,75,85,83
Male,Group A,Bachelor's degree,Yes,Completed,90,93,93
Male,Group E,High school,No,None,55,50,46
Female,Group C,Some college,Yes,None,72,69,73
Male,Group E,High school,Yes,Completed,80,74,72
Female,Group B,Bachelor's degree,Yes,Completed,87,94,96
Male,Group D,Associate's degree,Yes,Completed,68,61,64
Female,Group A,Some high school,Yes,None,58,55,57
Male,Group D,Bachelor's degree,Yes,Completed,83,78,80
Female,Group E,Some college,Yes,None,79,82,85
Female,Group B,Master's degree,No,Completed,98,99,100
Male,Group C,Some high school,Yes,Completed,79,70,73
Male,Group E,Some high school,No,None,61,57,59
Female,Group A,High school,Yes,Completed,76,73,78
Male,Group C,Some college,No,None,48,52,50
Female,Group D,Bachelor's degree,Yes,Completed,92,91,94
Male,Group C,Some high school,Yes,Completed,72,71,74
Female,Group B,Some college,Yes,Completed,86,87,88
Male,Group E,Some high school,No,None,65,57,61
Female,Group D,Associate's degree,Yes,Completed,75,77,74
Female,Group C,High school,No,None,62,68,65
Male,Group A,Bachelor's degree,Yes,Completed,89,91,92
Male,Group C,Some high school,No,Completed,73,69,71
Female,Group E,Some college,Yes,Completed,88,92,91
Male,Group A,High school,No,None,51,49,44
Female,Group C,Some college,No,Completed,74,78,75
Male,Group D,Master's degree,Yes,Completed,94,90,93
Female,Group B,Some high school,No,None,61,59,62
Male,Group C,Some college,Yes,Completed,85,79,81
Female,Group E,Associate's degree,Yes,None,69,73,70
Female,Group D,Associate's degree,Yes,None,70,75,70
Male,Group E,Some college,Yes,None,61,54,51
Female,Group C,Bachelor's degree,Yes,Completed,79,82,85
Male,Group D,Some high school,Yes,None,58,49,50
Female,Group C,Associate's degree,Yes,Completed,78,85,87
Male,Group B,Some high school,Yes,None,62,62,57
Female,Group D,Master's degree,No,Completed,88,99,95
Male,Group C,Some high school,Yes,None,61,53,47
Female,Group C,Some college,Yes,Completed,78,75,75
Female,Group A,Bachelor's degree,Yes,None,68,63,64
Male,Group C,Some high school,Yes,Completed,61,54,52
Female,Group D,Associate's degree,No,None,59,64,61
Male,Group B,Some high school,Yes,Completed,64,68,63
Female,Group C,Some high school,No,None,43,49,44
Male,Group E,Some college,Yes,Completed,79,77,78
Female,Group B,High school,No,None,63,69,71
Male,Group C,Some college,Yes,None,62,67,64
Female,Group A,Associate's degree,No,None,79,74,72
